figure_panel,frequency_band,aggregation_level,area,epoch,epoch_start_ms,epoch_end_ms,condition,mean_cp,sem_cp,source_monkeys
Fig3A,high_gamma,MT,MT,baseline,-200,0,pre,0.5042227992510118,0.001207328,Monkey_Y;Monkey_C
Fig3A,high_gamma,MT,MT,baseline,-200,0,post,0.5059201424893094,0.001665264,Monkey_Y;Monkey_C
Fig3A,high_gamma,MT,MT,stimulus,50,250,pre,0.5093073851721404,0.001384921,Monkey_Y;Monkey_C
Fig3A,high_gamma,MT,MT,stimulus,50,250,post,0.4991598717222265,0.002078499,Monkey_Y;Monkey_C
Fig3A,high_gamma,MT,MT,delay,250,400,pre,0.4943940789450197,0.002103095,Monkey_Y;Monkey_C
Fig3A,high_gamma,MT,MT,delay,250,400,post,0.4996971788050206,0.001201205,Monkey_Y;Monkey_C
Fig3A,high_gamma,V4,V4,baseline,-200,0,pre,0.4897417421140537,0.011572526965516137,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,baseline,-200,0,post,0.49194865742854504,0.012147372578317384,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,stimulus,50,250,pre,0.5323597981678425,0.005986639,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,stimulus,50,250,post,0.5027467762570481,0.001088197,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,delay,250,400,pre,0.5134925379867268,0.008080449,Monkey_L;Monkey_A
Fig3A,high_gamma,V4,V4,delay,250,400,post,0.5077689896852309,0.000202487,Monkey_L;Monkey_A
Fig3A,high_gamma,All,MT+V4,baseline,-200,0,pre,0.4947686879729286,0.004615505,Monkey_Y;Monkey_C;Monkey_L;Monkey_A
Fig3A,high_gamma,All,MT+V4,baseline,-200,0,post,0.4936402245685343,0.00488716,Monkey_Y;Monkey_C;Monkey_L;Monkey_A
Fig3A,high_gamma,All,MT+V4,stimulus,50,250,pre,0.5212336007398723,0.005630468,Monkey_Y;Monkey_C;Monkey_L;Monkey_A
Fig3A,high_gamma,All,MT+V4,stimulus,50,250,post,0.5005052132112924,0.002348373,Monkey_Y;Monkey_C;Monkey_L;Monkey_A
Fig3A,high_gamma,All,MT+V4,delay,250,400,pre,0.5062938587008461,0.007168131,Monkey_Y;Monkey_C;Monkey_L;Monkey_A
Fig3A,high_gamma,All,MT+V4,delay,250,400,post,0.5034776202966875,0.003963824,Monkey_Y;Monkey_C;Monkey_L;Monkey_A
Fig3B,low_gamma,MT,MT,baseline,-200,0,pre,0.5015935017359818,0.006793695,Monkey_Y;Monkey_C
Fig3B,low_gamma,MT,MT,baseline,-200,0,post,0.4995694694433719,0.001391466,Monkey_Y;Monkey_C
Fig3B,low_gamma,MT,MT,stimulus,50,250,pre,0.516968099,0.009398159,Monkey_Y;Monkey_C
Fig3B,low_gamma,MT,MT,stimulus,50,250,post,0.5178332802135003,0.010653391,Monkey_Y;Monkey_C
Fig3B,low_gamma,MT,MT,delay,250,400,pre,0.4965889163120034,0.002346676,Monkey_Y;Monkey_C
Fig3B,low_gamma,MT,MT,delay,250,400,post,0.5004257737546656,0.001157803,Monkey_Y;Monkey_C
Fig3B,low_gamma,V4,V4,baseline,-200,0,pre,0.48621945535647487,0.018113137133900274,Monkey_L;Monkey_A
Fig3B,low_gamma,V4,V4,baseline,-200,0,post,0.4916263025670908,0.012506990025003465,Monkey_L;Monkey_A
Fig3B,low_gamma,V4,V4,stimulus,50,250,pre,0.5354623999982492,0.018796055,Monkey_L;Monkey_A
Fig3B,low_gamma,V4,V4,stimulus,50,250,post,0.5238928251458554,0.009176225,Monkey_L;Monkey_A
Fig3B,low_gamma,V4,V4,delay,250,400,pre,0.5056176250495861,0.006535804,Monkey_L;Monkey_A
Fig3B,low_gamma,V4,V4,delay,250,400,post,0.503740848,0.003821911,Monkey_L;Monkey_A
